WARNING:easyocr.easyocr:Using CPU. Note: This module is much faster with a GPU.
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1265.07 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.07 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.07 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1265.07 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[Frame Total] CPU Time: 0.2656 s, Memory: 1265.08 MB
INFO:root:[YOLO] CPU Time: 0.2188 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1265.08 MB
INFO:root:[YOLO] CPU Time: 0.2188 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1265.08 MB
INFO:root:[YOLO] CPU Time: 0.2500 s, Memory: 1250.79 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1252.54 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1253.72 MB
INFO:root:[Frame Total] CPU Time: 0.2500 s, Memory: 1256.66 MB
INFO:root:[YOLO] CPU Time: 0.0781 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[Frame Total] CPU Time: 0.1406 s, Memory: 1265.08 MB
INFO:root:[YOLO] CPU Time: 0.0781 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[Frame Total] CPU Time: 0.0938 s, Memory: 1269.04 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1268.43 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.05 MB
INFO:root:[Frame Total] CPU Time: 0.1406 s, Memory: 1269.05 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[Frame Total] CPU Time: 0.2812 s, Memory: 1269.04 MB
INFO:root:[YOLO] CPU Time: 0.2500 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[Frame Total] CPU Time: 0.2500 s, Memory: 1269.04 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.04 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1269.05 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1269.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.05 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1269.05 MB
INFO:root:[YOLO] CPU Time: 0.0781 s, Memory: 1269.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.05 MB
